qscode,date,close,high,low,open,vol
000300.SH,2013-07-01,2213.317,2213.965,2166.353,2187.092,5772622700.0
000300.SH,2013-07-02,2221.984,2226.113,2191.801,2211.803,6183885000.0
000300.SH,2013-07-03,2203.828,2211.044,2169.137,2211.044,6583602200.0
000300.SH,2013-07-04,2221.979,2245.908,2176.08,2187.181,7258114500.0
000300.SH,2013-07-05,2226.849,2252.033,2225.047,2227.35,6182177500.0
000300.SH,2013-07-08,2163.619,2205.214,2162.189,2194.423,5478249300.0
000300.SH,2013-07-09,2162.669,2174.786,2149.787,2160.699,4149443300.0
000300.SH,2013-07-10,2224.065,2224.135,2157.468,2163.098,6114978100.0
000300.SH,2013-07-11,2326.688,2351.223,2232.157,2232.157,12579319200.0
000300.SH,2013-07-12,2275.373,2331.986,2274.073,2319.023,8973308200.0
000300.SH,2013-07-15,2307.297,2336.04,2274.673,2289.762,7475788400.0
000300.SH,2013-07-16,2317.848,2317.848,2281.942,2300.83,6562415700.0
000300.SH,2013-07-17,2282.836,2326.925,2281.609,2311.443,6765524800.0
000300.SH,2013-07-18,2245.328,2282.435,2241.93,2272.947,5714429200.0
000300.SH,2013-07-19,2190.478,2257.916,2188.752,2248.133,7053528200.0
000300.SH,2013-07-22,2202.189,2203.058,2159.813,2170.089,5328349500.0
000300.SH,2013-07-23,2265.845,2276.742,2206.756,2211.587,7480973100.0
000300.SH,2013-07-24,2249.151,2265.578,2217.192,2253.376,6959230700.0
000300.SH,2013-07-25,2237.683,2268.839,2227.853,2255.223,6577431600.0
000300.SH,2013-07-26,2224.008,2238.42,2209.806,2226.429,4894109800.0
000300.SH,2013-07-29,2175.97,2205.083,2169.017,2205.083,5460092500.0
000300.SH,2013-07-30,2189.388,2221.589,2162.979,2184.007,5519362300.0
000300.SH,2013-07-31,2193.021,2235.384,2187.21,2211.75,4832705500.0
000300.SH,2013-08-01,2245.364,2245.56,2200.626,2206.004,6260399700.0
000300.SH,2013-08-02,2247.263,2274.71,2244.252,2263.495,6089089300.0
000300.SH,2013-08-05,2278.329,2278.329,2243.22,2249.976,5534215100.0
000300.SH,2013-08-06,2293.641,2302.484,2256.715,2270.672,7374689500.0
000300.SH,2013-08-07,2280.623,2313.879,2276.862,2292.379,7304869500.0
000300.SH,2013-08-08,2276.782,2297.628,2267.073,2277.253,5309843000.0
000300.SH,2013-08-09,2286.01,2301.59,2258.334,2288.51,6460001700.0
000300.SH,2013-08-12,2352.794,2352.89,2293.176,2296.22,9786321600.0
000300.SH,2013-08-13,2359.068,2360.827,2340.733,2352.883,7839363600.0
000300.SH,2013-08-14,2349.08,2386.599,2340.833,2362.619,7594212800.0
000300.SH,2013-08-15,2321.576,2362.089,2319.784,2348.839,6195185300.0
000300.SH,2013-08-16,2304.144,2423.081,2295.023,2314.261,12036956300.0
000300.SH,2013-08-19,2331.43,2340.194,2284.077,2286.203,7248322400.0
000300.SH,2013-08-20,2312.465,2353.409,2303.666,2325.862,7308634500.0
000300.SH,2013-08-21,2308.589,2321.642,2291.053,2320.584,5500738400.0
000300.SH,2013-08-22,2303.932,2329.143,2297.016,2302.668,5533810400.0
000300.SH,2013-08-23,2286.929,2321.037,2251.92,2314.866,6896713300.0
000300.SH,2013-08-26,2335.616,2336.381,2288.496,2294.759,7037104300.0
000300.SH,2013-08-27,2340.881,2345.105,2322.461,2332.8,6599033300.0
000300.SH,2013-08-28,2328.056,2345.358,2307.043,2326.096,8925617400.0
000300.SH,2013-08-29,2318.311,2342.32,2308.145,2338.564,6608541500.0
000300.SH,2013-08-30,2313.91,2334.413,2303.609,2315.913,8765451500.0
000300.SH,2013-09-02,2320.344,2329.867,2297.449,2319.957,7951024900.0
000300.SH,2013-09-03,2354.502,2354.856,2321.304,2326.231,8055400500.0
000300.SH,2013-09-04,2350.699,2360.663,2345.437,2352.537,7872576300.0
000300.SH,2013-09-05,2341.735,2351.218,2336.754,2350.927,6295138300.0
000300.SH,2013-09-06,2357.782,2361.178,2335.932,2336.767,7334011600.0
000300.SH,2013-09-09,2440.609,2449.249,2372.686,2374.26,14988964000.0
000300.SH,2013-09-10,2474.894,2475.195,2435.826,2446.454,15485599200.0
000300.SH,2013-09-11,2482.889,2504.469,2471.624,2483.791,16691497400.0
000300.SH,2013-09-12,2507.455,2527.383,2469.718,2480.468,14517317500.0
000300.SH,2013-09-13,2488.902,2515.781,2481.454,2502.54,11077504900.0
000300.SH,2013-09-16,2478.39,2503.694,2467.129,2501.077,10538328200.0
